Gender,ClassYear,LarkOwl,NumEarlyClass,EarlyClass,GPA,ClassesMissed,CognitionZscore,PoorSleepQuality,DepressionScore,AnxietyScore,StressScore,DepressionStatus1,DepressionStatus,AnxietyStatus1,AnxietyStatus,Stress1,Stress,DASScore,Happiness,AlcoholUse,AlcoholUse,Drinks,WeekdayBed,WeekdayRise,WeekdaySleep,WeekendBed,WeekendRise,WeekendSleep,AverageSleep,AllNighter
1,4,Neither,0,0,3.1,3,0.85,7,1,2,2,1,normal,1,normal,0,normal,5,28,4,Moderate,8,24.3,9.05,8.75,25.5,10.25,8.75,8.75,0
0,3,Neither,2,1,2.77,2,0.83,5,4,8,14,1,normal,3,moderate,0,normal,26,27,3,Light,10,24.75,8.5,7.75,26.63,9.75,7.13,7.57,0
1,1,Neither,2,1,3.8,1,0.8,6,0,0,0,1,normal,1,normal,0,normal,0,27,4,Moderate,10,24.5,9.05,8.05,24.25,9,10,8.61,0
0,2,Owl,2,1,3.6,1,0.79,8,7,7,11,1,normal,1,normal,0,normal,25,28,4,Abstain,0,25.13,8.8,7.67,28.5,14,9.5,8.19,0
0,2,Owl,2,1,3.5,1,0.79,8,1,0,1,1,normal,1,normal,0,normal,2,33,4,Moderate,12,25.65,8.71,8.16,25.88,9.46,4.84,7.21,0
0,3,Lark,0,0,3.89,2,0.78,6,1,3,18,1,normal,1,normal,1,high,22,32,4,Moderate,6,25.45,7.44,6.49,24.63,9.38,7.5,6.78,0
0,4,Neither,2,1,3.4,3,0.78,9,4,5,9,1,normal,1,normal,0,normal,18,27,3,Light,3,23.9,7.8,8,25.25,10,7,7.71,0
0,4,Lark,0,0,3.62,4,0.76,6,3,7,25,1,normal,1,normal,1,high,35,33,4,Moderate,3,25.27,7.17,7.3,23,11,8.5,7.64,1
1,4,Neither,2,1,2.5,1,0.76,5,15,2,5,3,moderate,1,normal,0,normal,22,29,4,Heavy,20,25.05,9.92,8.87,26.63,9.92,7.29,8.42,1
0,2,Neither,0,0,2.5,0,0.75,6,13,1,14,3,moderate,1,normal,0,normal,28,26,4,Moderate,5,24.9,9.5,8.6,26.25,9.75,7.5,8.29,0
0,4,Neither,2,1,2.9,0,0.72,2,6,11,31,1,normal,3,moderate,1,high,48,30,4,Moderate,6,26.2,8,6.6,25.38,10.25,6.88,6.68,0
0,2,Neither,3,1,3.3,0,0.7,7,6,6,17,1,normal,1,normal,1,high,29,19,3,Light,2,24.65,8.8,8.75,26.25,10.25,6.5,8.11,0
1,2,Owl,2,1,3,2,0.7,7,6,1,2,1,normal,1,normal,0,normal,9,28,4,Moderate,15,25.25,9.3,8.3,25.63,10.75,8.5,8.36,0
0,1,Owl,0,0,3.75,0,0.68,6,15,0,13,3,moderate,1,normal,0,normal,28,27,4,Moderate,3,26,9.4,8,25.5,9.75,6.75,7.64,0
0,4,Owl,1,1,3,3,0.63,4,1,2,0,1,normal,1,normal,0,normal,3,32,4,Heavy,7,25.5,10.95,9.45,26.5,12.5,10,9.61,0
0,1,Neither,3,1,3.2,0,0.62,2,6,4,2,1,normal,1,normal,0,normal,12,25,3,Light,1,24.6,8.67,8.17,26.5,11.5,8.75,8.33,0
0,2,Neither,3,1,3.2,3,0.59,7,5,6,4,1,normal,1,normal,0,normal,15,30,3,Light,2,25.2,9.05,8.23,24.29,9.63,8.38,8.27,0
0,3,Neither,0,0,3.2,0,0.59,2,0,0,1,1,normal,1,normal,0,normal,1,30,3,Light,3,24.67,8.92,8.95,24.5,11,8.75,8.89,0
1,3,Neither,0,0,3.15,10,0.59,3,1,0,1,1,normal,1,normal,0,normal,2,30,3,Light,5,25.35,9.73,8.38,25.88,10.25,8.38,8.38,0
0,3,Neither,0,0,3.61,2,0.58,13,24,21,37,1,severe,1,severe,1,high,82,11,3,Light,4,24.75,9.9,9.4,25.38,10,8,9,0
1,2,Neither,3,1,2.66,2,0.58,5,1,1,0,1,normal,1,normal,0,normal,2,28,4,Moderate,9,25.85,8.8,6.95,26.25,10.25,8,7.25,0
1,2,Neither,3,1,3.68,0,0.56,5,2,3,1,1,normal,1,normal,0,normal,6,28,3,Light,1,25.8,8.27,6.57,26.25,10.75,8.25,7.05,0
1,3,Neither,3,1,3.36,0,0.56,4,2,4,7,1,normal,1,normal,0,normal,13,32,4,Moderate,6,22.6,7.55,9.05,23.25,9.25,9.75,9.25,0
0,2,Owl,0,0,3.4,2,0.53,11,25,10,24,1,severe,3,moderate,1,high,59,16,4,Moderate,5,25.2,10.37,9.97,27.25,11.5,6.25,8.9,1
1,3,Neither,0,0,3.9,0,0.52,6,4,2,7,1,normal,1,normal,0,normal,13,24,4,Heavy,12,25.6,9.85,8.85,25,10.75,8.25,8.68,0
0,2,Owl,2,1,3.6,3,0.52,5,2,3,6,1,normal,1,normal,0,normal,11,30,4,Moderate,4,25.6,8.43,7.33,26.5,12,8.25,7.59,0
0,3,Owl,2,1,3,1,0.52,6,0,0,3,1,normal,1,normal,0,normal,3,28,4,Moderate,3,24,9.3,9.85,24.88,12.5,10.25,9.96,0
0,4,Neither,2,1,3.8,0,0.49,9,14,1,13,3,moderate,1,normal,0,normal,28,19,3,Light,4,25.7,8.75,4.45,26.5,11,9,5.75,0
0,2,Owl,5,1,2.84,0,0.49,3,2,13,21,1,normal,3,moderate,1,high,36,29,3,Light,2,24.25,7.54,7.79,24.25,11.5,10,8.42,0
0,2,Owl,1.1,1,2,1,0.48,4,8,2,0,1,normal,1,normal,0,normal,10,22,4,Abstain,0,23.1,9.13,10.23,24.5,12,11,10.45,0
1,3,Owl,0,0,3.5,2,0.47,6,9,5,19,1,normal,1,normal,1,high,33,24,4,Moderate,9,24.95,8.86,7.97,27,11.63,9.13,8.3,0
1,1,Neither,1,1,3.6,1,0.45,6,0,6,15,1,normal,1,normal,1,high,21,22,3,Light,12,23.2,5.5,6.3,24,7.25,7.25,6.57,0
0,3,Neither,2,1,3.52,1,0.44,4,9,4,8,1,normal,1,normal,0,normal,21,19,4,Moderate,8,23.9,7.6,7.7,25.75,9.25,7.5,7.64,0
1,2,Lark,2,1,3.35,2,0.41,2,1,0,1,1,normal,1,normal,0,normal,2,25,4,Moderate,6,25.35,8.48,7.73,25.63,10.13,7,7.52,1
0,3,Lark,0,0,3.4,0,0.4,4,3,1,11,1,normal,1,normal,0,normal,15,23,3,Light,2,24,8.77,8.67,25.25,10.5,9.5,8.9,0
0,4,Neither,0,0,3.4,1,0.39,6,0,1,2,1,normal,1,normal,0,normal,3,33,4,Moderate,6,26.7,11,8.5,26.5,10,7,8.07,0
1,1,Neither,2,1,3.4,0,0.39,10,3,1,8,1,normal,1,normal,0,normal,12,23,4,Moderate,8,23.7,7.65,8.15,22,5.25,6.75,7.75,0
0,4,Owl,0,0,2.97,12,0.38,18,18,18,9,3,moderate,1,severe,0,normal,45,17,3,Light,3,27.44,6.55,3,28,12.59,10.09,5.02,0
1,2,Lark,2,1,3.52,1,0.36,3,1,2,5,1,normal,1,normal,0,normal,8,28,4,Moderate,10,23.9,8.2,8.6,25.75,12.5,10,9,0
0,2,Neither,2,1,3.4,0,0.36,3,4,6,13,1,normal,1,normal,0,normal,23,30,4,Moderate,7,24.2,9.2,8.6,26,11.5,10.5,9.14,0
1,4,Neither,0,0,2.5,6,0.36,4,2,5,3,1,normal,1,normal,0,normal,10,30,4,Heavy,10,25.7,10.1,8.3,26.75,11.25,8.75,8.43,0
1,2,Owl,0,0,3.6,6,0.34,5,0,2,6,1,normal,1,normal,0,normal,8,29,4,Moderate,10,25.1,9.8,9.3,25.25,10.5,7.75,8.86,0
1,2,Neither,2,1,2.8,1,0.34,6,0,0,0,1,normal,1,normal,0,normal,0,26,3,Light,2,25.4,9.37,7.57,27,11,9,7.98,0
0,4,Neither,2,1,3.6,0,0.3,8,3,17,26,1,normal,1,severe,1,high,46,30,4,Moderate,3,25,7.6,5.95,25.63,9,9,6.82,0
1,3,Neither,2,1,3.5,3,0.3,10,9,18,16,1,normal,1,severe,1,high,43,11,4,Heavy,8,26.1,8.27,6.72,26.63,10,6,6.51,0
1,2,Neither,0,0,3.2,0,0.3,3,0,0,1,1,normal,1,normal,0,normal,1,35,4,Abstain,0,25.85,10.1,7.95,27.5,13.5,10.75,8.75,0
1,2,Neither,1,1,2.5,3,0.29,5,2,3,5,1,normal,1,normal,0,normal,10,21,4,Moderate,10,26.13,9.38,6,27,10.5,7,6.29,1
0,2,Lark,0,0,3.7,1,0.28,5,7,13,23,1,normal,3,moderate,1,high,43,29,4,Abstain,0,24.95,8.35,6.6,25,8.75,9.75,7.5,0
0,2,Neither,5,1,3,7,0.28,4,3,2,1,1,normal,1,normal,0,normal,6,23,4,Moderate,10,24.75,7.8,6.75,26,9.75,7.75,7.04,0
0,4,Lark,2,1,3.43,2,0.27,5,0,4,4,1,normal,1,normal,0,normal,8,31,3,Light,3,23.07,8.18,9.57,23.88,9.25,8.25,9.19,0
0,1,Neither,2,1,3.2,2,0.27,8,0,0,2,1,normal,1,normal,0,normal,2,22,3,Light,3,25.36,10.03,8.29,28.25,12.96,9.67,8.68,1
0,4,Neither,3,1,3.1,0,0.27,5,3,2,5,1,normal,1,normal,0,normal,10,27,3,Light,7,24.2,8.1,8.1,24,8,7.5,7.93,0
1,2,Neither,5,1,3.5,2,0.26,5,5,12,22,1,normal,3,moderate,1,high,39,28,4,Abstain,0,26.5,7.7,4.3,26,11.5,10,5.93,1
0,3,Owl,2,1,3,1,0.26,4,1,0,3,1,normal,1,normal,0,normal,4,29,4,Moderate,5,24.8,8.73,8.03,25.25,10,8.5,8.17,0
1,4,Neither,0,0,2.75,0,0.26,11,4,7,5,1,normal,1,normal,0,normal,16,27,4,Abstain,0,23.8,7.55,7.75,25,8.88,7.88,7.79,0
1,2,Lark,3,1,3.78,0,0.25,2,0,3,2,1,normal,1,normal,0,normal,5,26,4,Abstain,0,23.83,7.46,7.78,23.63,8,8,7.84,0
0,3,Neither,2,1,3.8,1,0.24,5,2,4,19,1,normal,1,normal,1,high,25,31,4,Moderate,5,24.75,8.2,7.25,26.13,11.25,9.63,7.93,0
0,4,Owl,2,1,3.7,1,0.24,11,8,15,25,1,normal,1,severe,1,high,48,28,4,Moderate,9,25.2,9.57,7.57,26.25,13,12.75,9.05,0
0,2,Lark,0,0,3.3,5,0.22,5,3,3,6,1,normal,1,normal,0,normal,12,31,4,Moderate,6,23.7,8.93,9.63,25,9,7,8.88,0
1,2,Neither,2,1,3.23,0,0.22,9,0,4,0,1,normal,1,normal,0,normal,4,30,4,Moderate,9,25.5,8.48,7.58,23.5,11,10,8.27,1
0,4,Neither,2,1,3.74,1,0.21,7,3,8,13,1,normal,3,moderate,0,normal,24,33,3,Light,3,24.1,7.8,7.4,25,9.75,9.5,8,0
0,1,Owl,5,1,3.2,0,0.21,3,6,9,5,1,normal,3,moderate,0,normal,20,28,4,Moderate,9,24.25,8.08,8.63,24.75,10.88,8.13,8.49,0
0,4,Neither,2,1,3.15,2,0.2,8,3,4,8,1,normal,1,normal,0,normal,15,30,3,Light,5,24.7,8.35,7.65,25.5,11,9.5,8.18,0
0,2,Neither,3,1,3.04,0,0.2,7,11,13,17,3,moderate,3,moderate,1,high,41,23,4,Abstain,0,26.63,8.63,7.05,25.88,11.13,7.38,7.14,0
1,2,Neither,2,1,3,1,0.2,4,0,0,0,1,normal,1,normal,0,normal,0,34,4,Heavy,13,25.1,8.1,7,27,10,7,7,0
0,4,Lark,4,1,3.5,0,0.19,1,0,1,1,1,normal,1,normal,0,normal,2,35,3,Light,2,24.4,8.2,7.7,25,10.25,9.5,8.21,0
0,1,Neither,4,1,3.32,5,0.19,9,4,4,8,1,normal,1,normal,0,normal,16,25,4,Moderate,9,24.55,8.28,7.73,29,11,6,7.24,1
0,1,Owl,3,1,4,0,0.18,6,1,0,1,1,normal,1,normal,0,normal,2,28,4,Moderate,8,24.9,8.25,7.65,25.75,9.63,7.13,7.5,0
1,2,Owl,4,1,3,10,0.16,5,14,13,14,3,moderate,3,moderate,0,normal,41,28,4,Moderate,8,24.4,7.95,8.45,24,11.75,9.5,8.75,0
0,3,Lark,5,1,3.7,0,0.15,7,2,4,4,1,normal,1,normal,0,normal,10,31,3,Light,2,24.4,7.3,6.8,25.25,9.25,8.25,7.21,0
0,4,Neither,0,0,3.3,0,0.13,5,0,1,7,1,normal,1,normal,0,normal,8,26,4,Moderate,6,24.7,9.1,9,24.5,10.25,8.25,8.79,0
0,2,Lark,0,0,3.6,0,0.12,4,2,6,5,1,normal,1,normal,0,normal,13,18,3,Light,2,22.3,8.2,9.9,24.5,8,7.5,9.21,0
0,1,Neither,5,1,3.9,0,0.11,6,4,7,14,1,normal,1,normal,0,normal,25,25,3,Light,3,26.1,8,6,25.5,9.5,7.75,6.5,1
0,3,Lark,2,1,3.6,0,0.11,5,0,0,0,1,normal,1,normal,0,normal,0,31,3,Light,5,24.2,8.05,7.45,25,9.75,9.75,8.11,0
0,2,Neither,2,1,3.11,4,0.07,8,0,0,6,1,normal,1,normal,0,normal,6,33,3,Light,2,23.8,8.53,8.33,25.5,10,9.5,8.66,0
0,1,Neither,2,1,2.9,0,0.07,8,5,6,11,1,normal,1,normal,0,normal,22,24,3,Light,5,24.9,9.15,8.25,26.5,11.3,9,8.46,0
1,2,Neither,1,1,3.7,0,0.06,11,2,12,13,1,normal,3,moderate,0,normal,27,14,4,Moderate,10,25,8.53,8.23,25.25,10.75,7.75,8.09,0
0,1,Neither,5,1,3.5,1,0.06,6,2,1,4,1,normal,1,normal,0,normal,7,27,3,Light,3,25.8,7.75,6.45,25.5,10.88,8.13,6.93,0
0,4,Neither,0,0,2.9,4,0.05,12,10,12,18,3,moderate,3,moderate,1,high,40,25,4,Moderate,4,25.17,8.92,8,25.13,11.25,9.5,8.43,0
1,1,Owl,1,1,3.4,2,0.04,8,2,2,3,1,normal,1,normal,0,normal,7,30,4,Moderate,5,26.8,8.8,6.2,28.5,10.75,5.75,6.07,1
1,3,Neither,2,1,3.3,6,0.04,7,3,3,2,1,normal,1,normal,0,normal,8,20,3,Light,5,25.6,8.73,7.03,27.25,11.5,8.5,7.45,0
0,2,Neither,5,1,3.2,2,0.03,5,0,1,5,1,normal,1,normal,0,normal,6,31,3,Light,6,24.4,7.75,7.95,25,10.5,8,7.96,0
1,4,Neither,0,0,3,6,0.03,4,6,2,4,1,normal,1,normal,0,normal,12,30,4,Moderate,10,24.87,9.05,7.98,27.5,9.75,6.75,7.63,1
0,4,Lark,3,1,2.4,0,0.03,3,4,5,12,1,normal,1,normal,0,normal,21,19,4,Abstain,0,21.8,6.38,8.63,21.5,7.25,9.25,8.8,0
0,3,Neither,0,0,3.4,0,0.02,7,6,9,12,1,normal,3,moderate,0,normal,27,26,4,Heavy,10,24.8,7.8,7.6,26,9.5,6,7.14,0
1,3,Neither,2,1,3.3,0,0.02,1,0,0,0,1,normal,1,normal,0,normal,0,28,4,Moderate,7,25.17,8.73,8.22,24.5,10.75,9.5,8.59,0
0,1,Neither,3,1,4,0,0.01,5,8,3,10,1,normal,1,normal,0,normal,21,15,3,Light,1,22.9,8.3,9.4,27.25,11.5,8.25,9.07,0
0,1,Neither,4,1,3.95,1,-0.01,11,12,10,18,3,moderate,3,moderate,1,high,40,18,4,Heavy,7,25.2,8.2,7.7,25.5,9.5,6.25,7.29,0
1,3,Neither,0,0,3.72,2,-0.01,3,0,4,9,1,normal,1,normal,0,normal,13,32,3,Light,3,24.9,8.47,7.77,25,10,8.5,7.98,0
1,2,Neither,4,1,3.6,0,-0.01,5,0,0,2,1,normal,1,normal,0,normal,2,27,4,Abstain,0,25.5,7.25,5.25,26,8.63,7.88,6,0
1,2,Owl,2,1,2.8,0,-0.01,10,8,10,7,1,normal,3,moderate,0,normal,25,22,4,Moderate,12,25.7,8.8,7.1,26.25,10.5,8.25,7.43,0
0,3,Owl,3,1,3.67,14,-0.02,9,5,9,12,1,normal,3,moderate,0,normal,26,32,4,Abstain,0,25.6,8.17,5.87,28.25,9.25,6.75,6.12,0
1,3,Neither,0,0,2.8,2,-0.02,5,0,10,7,1,normal,3,moderate,0,normal,17,29,4,Moderate,10,24.3,9.58,8.98,25.5,9.13,8.38,8.81,0
1,4,Neither,0,0,3.6,1,-0.03,6,10,11,18,3,moderate,3,moderate,1,high,39,29,3,Light,2,24.3,7.8,7.7,23.5,9,9,8.07,0
0,4,Owl,0,0,3.4,6,-0.03,5,3,4,12,1,normal,1,normal,0,normal,19,21,4,Moderate,5,25.8,8.5,6.5,27.5,9,6,6.36,1
0,3,Owl,2,1,3.56,4,-0.04,11,5,12,20,1,normal,3,moderate,1,high,37,22,4,Moderate,6,26.58,10.55,7.97,27,12.69,9.69,8.46,0
1,4,Neither,0,0,3.5,0,-0.04,6,14,8,28,3,moderate,3,moderate,1,high,50,22,4,Abstain,0,23.8,8.95,9.05,26,10.75,9,9.04,0
0,4,Owl,0,0,3.35,0,-0.04,5,4,0,4,1,normal,1,normal,0,normal,8,27,4,Moderate,8,24.7,9.05,8.95,25.25,10.25,7.5,8.54,0
0,2,Neither,3,1,3.25,0,-0.04,4,4,1,4,1,normal,1,normal,0,normal,9,24,3,Light,5,23.7,7.83,8.23,23.75,8.25,8.25,8.24,0
0,4,Neither,0,0,3,0,-0.04,6,2,0,4,1,normal,1,normal,0,normal,6,20,3,Light,10,24.5,8.1,8.25,25.88,9.25,7.25,7.96,1
0,4,Neither,2,1,2.9,0,-0.04,8,18,12,26,3,moderate,3,moderate,1,high,56,17,4,Moderate,5,24.4,8.6,8.4,25.5,11,9,8.57,0
0,4,Neither,0,0,3.84,1,-0.05,3,0,1,3,1,normal,1,normal,0,normal,4,30,4,Moderate,4,23.9,8.05,7.95,25.5,8.5,7.5,7.82,0
0,1,Neither,2,1,3.43,0,-0.05,4,1,1,2,1,normal,1,normal,0,normal,4,28,4,Abstain,0,24.05,8.6,8.65,24.25,8.38,7.88,8.43,0
0,3,Neither,2,1,2.9,1,-0.05,4,1,1,10,1,normal,1,normal,0,normal,12,28,4,Moderate,7,24.63,9.04,9.74,25.75,10.5,8.5,9.39,0
1,3,Neither,0,0,2.75,5,-0.05,14,26,18,24,1,severe,1,severe,1,high,68,21,3,Light,3,25.8,8.23,6.43,26.5,12.75,10.25,7.52,0
0,3,Neither,0,0,2.4,4,-0.07,4,2,6,4,1,normal,1,normal,0,normal,12,25,3,Light,5,25.75,10.02,8.77,25.5,10.38,7.63,8.44,0
1,3,Lark,0,0,1.8,2,-0.08,9,0,0,0,1,normal,1,normal,0,normal,0,22,4,Abstain,0,26.5,9.25,6.4,26,11,6.5,6.43,1
0,2,Lark,0,0,3.3,6,-0.09,15,3,26,16,1,normal,1,severe,1,high,45,18,4,Moderate,5,24.6,7.8,8.2,26.5,9,4,7,0
0,3,Neither,2,1,3.05,4,-0.11,15,4,10,20,1,normal,3,moderate,1,high,34,30,3,Light,1,24.5,7.8,7.4,25.5,8.75,7,7.29,0
1,2,Owl,0,0,2.5,1,-0.11,11,23,9,18,1,severe,3,moderate,1,high,50,12,4,Moderate,14,24.75,7.8,6.85,26.63,8.42,6.29,6.69,0
1,1,Owl,1,1,4,3,-0.12,11,5,1,3,1,normal,1,normal,0,normal,9,25,4,Moderate,9,26.9,9.6,6.7,25.5,10.29,8.79,7.3,1
1,2,Neither,2,1,2.5,0,-0.13,4,5,4,11,1,normal,1,normal,0,normal,20,27,3,Light,5,25.57,6.67,5.63,23.79,9.42,8.29,6.39,0
0,1,Neither,2,1,4,1,-0.18,7,14,6,16,3,moderate,1,normal,1,high,36,24,4,Abstain,0,23.35,6.95,7.7,22.75,9.75,10.75,8.57,0
1,2,Lark,0,0,2.9,0,-0.18,8,1,0,1,1,normal,1,normal,0,normal,2,33,3,Light,10,24.25,9,8.9,25.75,9.25,7.13,8.39,0
0,2,Neither,2,1,3.44,0,-0.2,5,7,8,16,1,normal,3,moderate,1,high,31,27,3,Light,4,24.1,9.2,9.2,25,10.88,9.63,9.32,0
0,1,Neither,3,1,3.25,3,-0.2,7,5,5,13,1,normal,1,normal,0,normal,23,21,4,Moderate,8,24.35,7.62,6.87,24.75,10,10.25,7.83,0
1,2,Neither,0,0,3.5,0,-0.22,3,18,13,36,3,moderate,3,moderate,1,high,67,29,4,Moderate,7,24.27,8.57,7.57,26.25,10.25,9.84,8.21,0
1,2,Neither,2,1,2.75,2,-0.22,2,0,0,1,1,normal,1,normal,0,normal,1,33,3,Light,3,25,9.8,8.5,26,11.67,10.42,9.05,0
0,3,Neither,2,1,3.2,1,-0.24,6,2,1,9,1,normal,1,normal,0,normal,12,28,3,Light,6,26.6,8,5.9,26,10,6.75,6.14,0
0,4,Neither,0,0,3.6,0,-0.26,4,4,3,8,1,normal,1,normal,0,normal,15,28,4,Moderate,10,25.75,8.7,7.7,25.75,9.5,5.88,7.18,0
0,1,Lark,3,1,3.25,5,-0.28,4,4,8,14,1,normal,3,moderate,0,normal,26,30,4,Moderate,4,22.83,9.38,10.48,26.25,9.75,7.67,9.68,0
1,2,Lark,3,1,3.24,6,-0.29,5,4,11,16,1,normal,3,moderate,1,high,31,0,4,Moderate,12,26.8,8.45,5.95,25.5,8.25,6,5.96,1
1,2,Neither,2,1,2.6,0,-0.29,5,1,1,3,1,normal,1,normal,0,normal,5,31,4,Moderate,7,24.38,9.2,8.97,26,9.88,7.5,8.55,0
1,2,Neither,0,0,2.35,6,-0.29,6,4,16,7,1,normal,1,severe,0,normal,27,21,4,Moderate,12,25,10.18,9.18,26.5,11.25,8.75,9.06,0
0,3,Neither,2,1,3.3,7,-0.31,14,19,15,37,3,moderate,1,severe,1,high,71,20,4,Moderate,3,22.83,8.45,9.13,23,10.5,11.5,9.8,0
0,1,Neither,0,0,3,5,-0.31,6,5,0,6,1,normal,1,normal,0,normal,11,27,3,Light,3,24.6,9.2,9.3,23.75,11.75,10.25,9.57,0
0,4,Neither,2,1,3.1,6,-0.32,5,4,9,18,1,normal,3,moderate,1,high,31,26,3,Light,3,23.65,8.4,8.95,25.5,9.75,7.75,8.61,0
0,1,Neither,2,1,3,1,-0.32,9,8,5,6,1,normal,1,normal,0,normal,19,20,3,Light,5,23.6,8.63,9.03,24.5,10,9.5,9.17,0
0,2,Neither,2,1,3.2,0,-0.33,3,8,2,8,1,normal,1,normal,0,normal,18,25,4,Abstain,0,24.6,8.25,7.65,25.5,10.38,8.88,8,0
1,4,Neither,2,1,2.98,14,-0.33,6,4,2,6,1,normal,1,normal,0,normal,12,31,4,Moderate,10,24.9,8.5,7.8,26,10.75,8.25,7.93,0
1,3,Neither,0,0,2.81,2,-0.33,5,0,7,11,1,normal,1,normal,0,normal,18,27,4,Moderate,6,25.2,8.85,8.25,25.5,11,8,8.18,0
1,1,Neither,3,1,2.8,1,-0.34,4,0,2,0,1,normal,1,normal,0,normal,2,32,4,Moderate,7,25.5,8.87,7.57,25,11.5,10,8.26,0
